,PIID,Prepared Date,Date Signed,Contracting Office Region,Modification Number,Period of Performance Start Date,Funding Office ID,Principal Place of Performance Country Name,Vendor Name,Referenced  IDV PIID,Referenced IDV Mod Number,(Last Date To Order),Purchase Card as Payment Method Code,Purchase Card as Payment Method Description,Description of Requirement,IDV NAICS Code,IDV NAICS Description,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Principal Place of Performance Country Code,Base and Exercised Options Value,Action Obligation,Base and All Options Value (Total Contract Value),cluster id,confidence
0,191d3220c0016,08/04/20,08/04/20,ea,0,08/04/20,19xeap,indonesia,miscellaneous foreign awardees,,,,n,no,contract - maintenancerepair at foa 12,,,236118,residential remodelers,z2fz,repair or alteration of other residential buildings,idn,"10,257.11","10,257.11","10,257.11",111,1.0
1,191d3220p1723,8/18/20,8/18/20,ea,0,8/18/20,19xds0,united states,"stateside procurement services, inc.",,,,n,no,pr9319400,,,332999,all other miscellaneous fabricated metal product manufacturing,7810,athletic and sporting equipment,usa,"11,068.00","11,068.00","11,068.00",112,1.0
2,191d8020p0224,8/13/20,8/13/20,ea,0,8/13/20,19xeap,indonesia,miscellaneous foreign awardees,,,,n,no,less than micropurchase threshold,,,443142,electronics stores,6240,electric lamps,idn,"10,400.13","10,400.13","10,400.13",113,1.0
3,191n2918p0127,02/02/18,02/02/18,sc,0,02/02/18,19xsca,india,miscellaneous foreign awardees,,,,n,no,igf::ot::igf annual international courier service for 2018,,,492110,couriers and express delivery services,r602,support- administrative: courier/messenger,ind,"3,852.68","3,852.68","3,852.68",114,1.0
4,191n2918p0127,2/28/18,2/28/18,sc,1,2/28/18,19xsca,india,miscellaneous foreign awardees,,,,n,no,annual international courier service for 2018,,,492110,couriers and express delivery services,r602,support- administrative: courier/messenger,ind,0.00,0.00,0.00,0,0.9195644863954879
5,191n2918p0127,3/22/18,3/22/18,sc,2,3/22/18,19xsca,india,miscellaneous foreign awardees,,,,n,no,annual international courier service for 2018,,,492110,couriers and express delivery services,r602,support- administrative: courier/messenger,ind,38.70,38.70,38.70,0,0.9195644863954879
6,191n2918p0127,6/14/18,6/14/18,sc,p00003,6/14/18,19xsca,india,miscellaneous foreign awardees,,,,n,no,annual international courier service for 2018,,,492110,couriers and express delivery services,r602,support- administrative: courier/messenger,ind,(22.39),(22.39),(22.39),0,0.9195644863954879
7,191n2920p0437,8/18/20,7/17/20,sc,0,7/17/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,sr-9258838-prog-make ready 401 satguru sharan,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,"8,719.33","8,719.33","8,719.33",1,0.9195644855499268
8,191n2920p0437,8/18/20,8/18/20,sc,p00001,7/17/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,sr-9258838-prog-make ready 401 satguru sharan,,,541410,interior design services,z1fa,maintenance of family housing facilities,ind,"1,701.10","1,701.10","1,701.10",1,0.9195644855499268
9,191n2920p0478,8/14/20,08/04/20,sc,0,08/04/20,19xsca,india,miscellaneous foreign awardees,,,,n,no,sr-9326243-icass-rental bus for les local travel,,,532120,"truck, utility trailer, and rv (recreational vehicle) rental and leasing",v229,transport/travel/relocation- travel/lodging/recruit: purch of transit/public transport fare media,ind,"4,869.97","4,869.97","4,869.97",2,0.9195644855499268
